Input Signal, Output Signal, Freq Scale, Mag Spec Input, Phase Spec Input, Impulse Resp, Freq Resp Mag, Freq Resp Phase, Mag Spec Out, Mag Phase Out
-0.283386,0.000000,1190.104948,24.722553,0.039852,-0.000001,0.077900,-0.806024,-9.249040,1.216214,
-0.323151,-0.000003,1201.124438,26.217945,-0.437179,0.000002,0.076359,-0.813531,-7.252912,0.918841,
-0.352997,0.000004,1212.143928,21.051294,-0.455314,0.000003,0.074809,-0.821039,-7.603950,0.530417,
-0.365936,-0.003843,1223.163418,26.458883,-0.058003,0.000002,0.073239,-0.828547,-6.627431,0.205588,
-0.362823,0.000000,1234.182909,25.507423,-0.854428,-0.000001,0.071664,-0.836056,-9.543848,-0.301931,
-0.342468,0.000000,1245.202399,23.595215,-0.757061,-0.000002,0.070072,-0.843566,-1.609957,0.850956,
-0.299133,-0.000022,1256.221889,26.031195,-0.868668,-0.000002,0.068461,-0.851078,2.818278,1.466907,
-0.235229,0.002385,1267.241379,24.382833,-1.083970,-0.000000,0.066838,-0.858589,-7.491806,-1.049630,
-0.172333,0.000000,1278.260870,22.647335,-1.361687,0.000001,0.065204,-0.866103,-10.926048,-1.538454,
-0.138031,-0.000000,1289.280360,24.728380,1.548201,0.000001,0.063555,-0.873616,-13.844529,-1.401878,
-0.142395,0.000013,1300.299850,21.313944,1.412051,0.000001,0.061893,-0.881131,-16.246386,-1.027817,
-0.174133,-0.000696,1311.319340,14.517882,0.646494,-0.000000,0.060224,-0.888647,-14.555280,-1.036125,
-0.212555,-0.061531,1322.338831,23.567301,-1.019273,-0.000001,0.058537,-0.896164,-14.833277,-1.290790,
-0.234528,0.000000,1333.358321,23.784325,1.135942,-0.000001,0.056839,-0.903681,-14.186845,-0.793517,
-0.222534,0.000004,1344.377811,18.535837,1.412390,-0.000000,0.055126,-0.911200,-12.677874,-1.321459,
-0.175385,-0.000175,1355.397301,23.348257,0.090746,0.000001,0.053406,-0.918719,-8.527543,-1.427459,
-0.110779,-0.003757,1366.416792,16.753525,-1.066368,0.000001,0.051668,-0.926239,-5.097307,1.540756,
-0.044434,0.000000,1377.436282,15.380964,0.237525,0.000000,0.049921,-0.933761,2.771474,0.936600,
0.015930,0.000000,1388.455772,19.752930,-0.766516,-0.000000,0.048161,-0.941283,2.906478,-1.441687,
0.071136,0.000017,1399.475262,20.876038,-1.322420,-0.000001,0.046388,-0.948806,-2.254008,0.098795,
0.123627,-0.001306,1410.494753,20.347013,1.274564,-0.000000,0.044603,-0.956330,-14.447267,0.680446,
0.176239,0.000000,1421.514243,15.916845,1.016418,0.000000,0.042805,-0.963854,-16.896555,0.486274,
0.230835,0.000000,1432.533733,8.440185,-0.076172,0.000000,0.041002,-0.971380,-12.791734,-0.126562,
0.287231,-0.000021,1443.553223,4.476483,-0.058523,0.000000,0.039185,-0.978907,-11.653057,-0.851310,
0.339020,0.000841,1454.572714,13.091136,-0.033566,0.000000,0.037355,-0.986435,-9.496876,1.264154,
0.373199,-0.001854,1465.592204,14.525266,-1.396384,-0.000000,0.035517,-0.993963,-10.799606,-0.074138,
0.375275,-0.000000,1476.611694,15.029066,0.585324,-0.000000,0.033664,-1.001493,-24.898932,0.041267,
0.333160,0.000004,1487.631184,14.679483,0.709730,-0.000000,0.031806,-1.009023,-20.975658,-0.185049,
0.247040,0.000223,1498.650675,15.164037,0.840282,0.000000,0.029938,-1.016554,-24.469456,1.139073,
0.139221,-0.006606,1509.670165,14.292636,0.212718,0.000000,0.028054,-1.024087,-15.814075,0.011267,
0.044647,-0.000000,1520.689655,18.588160,0.228274,0.000000,0.026164,-1.031619,-19.018463,-1.129931,
-0.010956,0.000004,1531.709145,14.822577,-0.847382,0.000000,0.024264,-1.039153,-18.850435,-1.550619,
-0.016693,-0.000009,1542.728636,22.071795,-0.912398,-0.000000,0.022353,-1.046688,-15.322377,0.420697,
0.025208,0.001343,1553.748126,21.574894,1.552449,-0.000000,0.020433,-1.054224,-18.392918,-0.274536,
0.095123,-0.000000,1564.767616,21.335970,0.794778,-0.000000,0.018512,-1.061761,-20.196335,1.248571,
0.156769,-0.000000,1575.787106,16.716581,-0.999591,0.000000,0.016574,-1.069298,-18.799965,-0.016086,
0.183044,-0.000015,1586.806597,21.441946,0.804954,0.000000,0.014629,-1.076837,-10.364470,0.967428,
0.170044,0.000516,1597.826087,19.543049,0.557224,0.000000,0.012676,-1.084377,-10.029928,-0.205668,
0.130615,0.000000,1608.845577,20.781168,-0.083267,0.000000,0.010719,-1.091917,-13.681952,-1.003926,
0.076508,0.000000,1619.865067,24.386860,-0.770326,-0.000000,0.008749,-1.099459,-18.098312,1.478280,
0.019653,-0.000013,1630.884558,23.158945,0.930451,-0.000000,0.006775,-1.107001,-24.776045,-0.982084,
-0.028168,0.000700,1641.904048,21.415380,-0.379910,-0.000000,0.004791,-1.114545,-37.688671,0.000000,
-0.067474,-0.017701,1652.923538,22.624001,0.992625,0.000000,0.002802,-1.122089,-1.172987,0.631324,
-0.106781,-0.000000,1663.943028,17.653576,0.221113,0.000000,0.000809,-1.129634,4.743566,-0.981212,
-0.146729,-0.000006,1674.962519,12.849080,0.611463,0.000000,-0.001193,-1.137181,-1.818505,-0.137365,
-0.172638,0.000286,1685.982009,17.522997,0.805435,-0.000000,-0.003203,-1.144728,-7.827062,-0.744381,
-0.175690,-0.001883,1697.001499,17.058077,0.082892,-0.000000,-0.005216,-1.152276,-9.059084,-0.983834,
-0.161926,-0.000000,1708.020990,19.779266,-0.634911,-0.000000,-0.007233,-1.159826,-12.270651,-1.028069,
-0.143250,-0.000000,1719.040480,18.739298,-1.008587,-0.000000,-0.009260,-1.167376,-15.584702,1.511319,
-0.130890,0.000001,1730.059970,15.217931,0.623564,0.000000,-0.011287,-1.174927,-16.357542,-1.383082,
-0.135040,-0.000306,1741.079460,9.921335,0.534171,0.000000,-0.013322,-1.182480,-18.476101,1.530786,
-0.161102,-0.000000,1752.098951,7.654430,-1.215948,0.000000,-0.015362,-1.190032,-21.472773,1.557132,
